Kind,Name,PercentLackOfCohesion,,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled
Public Constructor,data.DataManager.DataManager,,,,3,,1,,,,
Public Method,data.DataManager.getCityByID,,,,3,,2,,,,
Public Method,data.DataManager.getFlightByID,,,,3,,2,,,,
Public Method,data.DataManager.getFlightDaemonByID,,,,3,,2,,,,
Public Method,data.DataManager.getUserByID,,,,3,,2,,,,
Public Method,data.DataManager.init,,,,2,,1,,,,
Public Method,data.DataManager.readData,,,,1,,0,,,,
Public Method,data.DataManager.readDataCities,,,,1,,0,,,,
Public Method,data.DataManager.readDataDaemons,,,,1,,0,,,,
Public Method,data.DataManager.readDataFlights,,,,1,,0,,,,
Public Method,data.DataManager.readDataUsers,,,,1,,0,,,,
Public Method,data.DataManager.saveData,,,,1,,0,,,,
Public Method,data.DataManager.stop,,,,2,,1,,,,
Public Method,data.DataManager.validateUser,,,,3,,2,,,,
Public Class,data.Flight,86,,1,65,3,3,1,0,2,4
Public Constructor,data.Flight.Flight,,,,1,,0,,,,
Protected Method,data.Flight.addPassenger,,,,4,,3,,,,
Protected Method,data.Flight.addPassenger,,,,1,,0,,,,
Protected Method,data.Flight.addPassenger,,,,1,,0,,,,
Public Static Method,data.Flight.calendar,,,,1,,0,,,,
Public Static Method,data.Flight.clearCalendar,,,,1,,0,,,,
Public Method,data.Flight.delete,,,,1,,0,,,,
Public Method,data.Flight.flightStatusIsAvaliable,,,,2,,0,,,,
Public Method,data.Flight.flightStatusIsFull,,,,2,,0,,,,
Public Method,data.Flight.flightStatusIsTerminate,,,,2,,0,,,,
Public Method,data.Flight.flightStatusIsUnpublished,,,,2,,0,,,,
Public Method,data.Flight.getArriveCity,,,,1,,0,,,,
Public Method,data.Flight.getArriveTime,,,,1,,0,,,,
Public Method,data.Flight.getAvailableSeat,,,,3,,1,,,,
Public Method,data.Flight.getDistance,,,,1,,0,,,,
Public Method,data.Flight.getFlightID,,,,1,,0,,,,
Public Method,data.Flight.getFlightName,,,,1,,0,,,,
Public Method,data.Flight.getFlightStatus,,,,1,,0,,,,
Protected Method,data.Flight.getPassagers,,,,1,,0,,,,
Public Method,data.Flight.getPassagersSize,,,,1,,0,,,,
Public Method,data.Flight.getPrice,,,,1,,0,,,,
Public Method,data.Flight.getSeatCapacity,,,,1,,0,,,,
Public Method,data.Flight.getStartCity,,,,1,,0,,,,
Public Method,data.Flight.getStartTime,,,,1,,0,,,,
Public Static Method,data.Flight.getTimeCalendar,,,,1,,0,,,,
Public Method,data.Flight.hashCode,,,,1,,0,,,,
Protected Method,data.Flight.isDaemon,,,,1,,0,,,,
Public Method,data.Flight.passagers,,,,1,,0,,,,
Public Method,data.Flight.publish,,,,3,,1,,,,
Protected Method,data.Flight.removePassenger,,,,5,,3,,,,
Public Method,data.Flight.setArriveCity,,,,2,,1,,,,
Public Method,data.Flight.setArriveTime,,,,2,,1,,,,
Protected Method,data.Flight.setDaemon,,,,1,,0,,,,
Public Method,data.Flight.setDistance,,,,1,,0,,,,
Public Method,data.Flight.setFlightName,,,,2,,1,,,,
Public Method,data.Flight.setPrice,,,,2,,1,,,,
Public Method,data.Flight.setSeatCapacity,,,,3,,2,,,,
Public Method,data.Flight.setStartCity,,,,2,,1,,,,
Public Method,data.Flight.setStartTime,,,,2,,1,,,,
Public Method,data.Flight.toString,,,,3,,0,,,,
Public Class,data.FlightDaemon,85,,1,55,1,3,1,0,2,3
Public Constructor,data.FlightDaemon.FlightDaemon,,,,1,,0,,,,
Public Method,data.FlightDaemon.flightIsDaemon,,,,1,,0,,,,
Public Method,data.FlightDaemon.getArriveCity,,,,1,,0,,,,
Public Method,data.FlightDaemon.getArriveTime,,,,1,,0,,,,
Public Method,data.FlightDaemon.getChildren,,,,1,,0,,,,
Public Method,data.FlightDaemon.getDistance,,,,1,,0,,,,
Public Method,data.FlightDaemon.getFlightArriveTime,,,,1,,0,,,,
Public Method,data.FlightDaemon.getFlightDaemonID,,,,1,,0,,,,
Public Method,data.FlightDaemon.getFlightName,,,,1,,0,,,,
Public Method,data.FlightDaemon.getFlightStartTime,,,,1,,0,,,,
Public Method,data.FlightDaemon.getPeriod,,,,1,,0,,,,
Public Method,data.FlightDaemon.getPrice,,,,1,,0,,,,
Public Method,data.FlightDaemon.getSeatCapacity,,,,1,,0,,,,
Public Method,data.FlightDaemon.getStartCity,,,,1,,0,,,,
Public Method,data.FlightDaemon.getStartTime,,,,1,,0,,,,
Public Method,data.FlightDaemon.getStatus,,,,1,,0,,,,
Public Method,data.FlightDaemon.hashCode,,,,1,,0,,,,
Public Method,data.FlightDaemon.removeFlight,,,,1,,0,,,,
Class,data.FlightDaemon.removeFlight.(Anon_1),0,,1,1,1,0,1,0,2,2
Public Method,data.FlightDaemon.removeFlight.(Anon_1).test,,,,1,,0,,,,
Public Method,data.FlightDaemon.setArriveCity,,,,4,,3,,,,
Public Method,data.FlightDaemon.setArriveTime,,,,3,,2,,,,
Public Method,data.FlightDaemon.setDistance,,,,3,,2,,,,
Public Method,data.FlightDaemon.setFlightArriveTime,,,,2,,1,,,,
Public Method,data.FlightDaemon.setFlightDaemonID,,,,1,,0,,,,
Public Method,data.FlightDaemon.setFlightName,,,,4,,3,,,,
Public Method,data.FlightDaemon.setFlightStartTime,,,,2,,1,,,,
Public Method,data.FlightDaemon.setPeriod,,,,1,,0,,,,
Public Method,data.FlightDaemon.setPrice,,,,4,,3,,,,
Public Method,data.FlightDaemon.setSeatCapacity,,,,4,,3,,,,
Public Method,data.FlightDaemon.setStartCity,,,,4,,3,,,,
Public Method,data.FlightDaemon.setStartTime,,,,3,,2,,,,
Public Method,data.FlightDaemon.toString,,,,2,,0,,,,
Public Enum Type,data.FlightStatus,100,,1,2,1,0,1,0,1,0
Public Method,data.FlightStatus.valueOf,,,,1,,0,,,,
Public Method,data.FlightStatus.values,,,,1,,0,,,,
Public Class,data.Order,67,,1,40,1,3,1,0,2,6
Public Constructor,data.Order.Order,,,,1,,0,,,,
Public Constructor,data.Order.Order,,,,1,,0,,,,
Public Method,data.Order.cancle,,,,3,,2,,,,
Public Method,data.Order.existFlight,,,,2,,0,,,,
Public Method,data.Order.getCreatDate,,,,1,,0,,,,
Public Method,data.Order.getFlight,,,,1,,0,,,,
Public Method,data.Order.getFlightName,,,,1,,0,,,,
Public Method,data.Order.getFlightStartTime,,,,1,,0,,,,
Public Method,data.Order.getPassager,,,,1,,0,,,,
Public Method,data.Order.getSeat,,,,2,,0,,,,
Public Method,data.Order.getStatus,,,,1,,0,,,,
Public Method,data.Order.hashCode,,,,1,,0,,,,
Public Method,data.Order.isCancle,,,,2,,0,,,,
Public Method,data.Order.isPaid,,,,2,,0,,,,
Public Method,data.Order.isUnpaid,,,,2,,0,,,,
Public Method,data.Order.pay,,,,2,,1,,,,
Public Method,data.Order.printOrder,,,,2,,1,,,,
Public Method,data.Order.remove,,,,5,,3,,,,
Protected Method,data.Order.setCreatDate,,,,1,,0,,,,
Protected Method,data.Order.setStatus,,,,4,,3,,,,
Public Method,data.Order.toString,,,,4,,0,,,,
Public Enum Type,data.OrderStatus,100,,1,2,1,0,1,0,1,0
Public Method,data.OrderStatus.valueOf,,,,1,,0,,,,
Public Method,data.OrderStatus.values,,,,1,,0,,,,
Public Class,data.Passenger,66,,1,7,1,1,2,0,1,3
Public Constructor,data.Passenger.Passenger,,,,1,,0,,,,
Public Method,data.Passenger.addOrder,,,,1,,0,,,,
Public Method,data.Passenger.getIdentityID,,,,1,,0,,,,
Public Method,data.Passenger.getOrderList,,,,1,,0,,,,
Public Method,data.Passenger.removeOrder,,,,1,,0,,,,
Public Method,data.Passenger.reserveFlight,,,,2,,1,,,,
Public Abstract Class,data.User,82,,1,11,3,3,1,2,2,0
Public Method,data.User.changePass,,,,1,,0,,,,
Public Method,data.User.getID,,,,1,,0,,,,
Public Method,data.User.getPassHash,,,,1,,0,,,,
Public Method,data.User.getUserName,,,,1,,0,,,,
Public Static Method,data.User.hashPass,,,,5,,3,,,,
