Kind,Name,PercentLackOfCohesion,LCOM,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled
Public Method,data.DataManager.getUserByID,,,,3,,2,,,,
Public Method,data.DataManager.init,,,,2,,1,,,,
Public Method,data.DataManager.readData,,,,1,,0,,,,
Public Method,data.DataManager.saveData,,,,1,,0,,,,
Public Method,data.DataManager.stop,,,,2,,1,,,,
Public Class,data.Flight,84,,1,55,3,3,1,0,2,4
Public Constructor,data.Flight.Flight,,,,1,,0,,,,
Protected Method,data.Flight.addPassenger,,,,4,,3,,,,
Protected Method,data.Flight.addPassenger,,,,1,,0,,,,
Protected Method,data.Flight.addPassenger,,,,1,,0,,,,
Public Static Method,data.Flight.calendar,,,,1,,0,,,,
Public Method,data.Flight.delete,,,,1,,0,,,,
Public Method,data.Flight.getArriveCity,,,,1,,0,,,,
Public Method,data.Flight.getArriveTime,,,,1,,0,,,,
Public Method,data.Flight.getAvailableSeat,,,,3,,1,,,,
Public Method,data.Flight.getDistance,,,,1,,0,,,,
Public Method,data.Flight.getFlightID,,,,1,,0,,,,
Public Method,data.Flight.getFlightName,,,,1,,0,,,,
Public Method,data.Flight.getFlightStatus,,,,1,,0,,,,
Public Method,data.Flight.getNumber,,,,1,,0,,,,
Protected Method,data.Flight.getPassagers,,,,1,,0,,,,
Public Method,data.Flight.getPrice,,,,1,,0,,,,
Public Method,data.Flight.getSeatCapacity,,,,1,,0,,,,
Public Method,data.Flight.getStartCity,,,,1,,0,,,,
Public Method,data.Flight.getStartTime,,,,1,,0,,,,
Public Method,data.Flight.hashCode,,,,1,,0,,,,
Protected Method,data.Flight.isDaemon,,,,1,,0,,,,
Public Method,data.Flight.passagers,,,,1,,0,,,,
Public Method,data.Flight.publish,,,,3,,1,,,,
Protected Method,data.Flight.removePassenger,,,,5,,3,,,,
Public Method,data.Flight.setArriveCity,,,,2,,1,,,,
Public Method,data.Flight.setArriveTime,,,,2,,1,,,,
Protected Method,data.Flight.setDaemon,,,,1,,0,,,,
Public Method,data.Flight.setDistance,,,,1,,0,,,,
Public Method,data.Flight.setFlightName,,,,2,,1,,,,
Public Method,data.Flight.setPrice,,,,2,,1,,,,
Public Method,data.Flight.setSeatCapacity,,,,3,,2,,,,
Public Method,data.Flight.setStartCity,,,,2,,1,,,,
Public Method,data.Flight.setStartTime,,,,2,,1,,,,
Public Method,data.Flight.toString,,,,3,,0,,,,
Public Class,data.FlightDaemon,82,,1,50,1,3,1,0,2,3
Public Constructor,data.FlightDaemon.FlightDaemon,,,,1,,0,,,,
Public Method,data.FlightDaemon.getArriveCity,,,,1,,0,,,,
